number,code,category,group,sex_exclude,disease,risk_disease,important,urgent,score,เหลือง,แดง,คะแนนเหลือง,คะแนนแดง,rank,signal,ปรับพฤติกรรม,supplement,risk_reduction,checkup,intro
1,BR001,brain,brain,,Stroke,โรคหลอดเลือดสมอง (stroke),3,3,9,1,2,9,18,3,,,สารสกัดจากใบแปะก๊วยร่วมกับ Omega 3 และ Vitamin E,• ออกกำลังกายสม่ำเสมอ เน้นระดับความเข้มข้นปานกลาง (zone 2-3) ระยะเวลาไม่ต่ำกว่า 30 นาที อย่างน้อย 150 นาที/สัปดาห์  ,"• พบแพทย์เพื่อตรวจคัดกรองโรค โดยเฉพาะเมื่ออายุ 45 ปีขึ้นไป เช่น ส่องกล้องตรวจลำไส้ใหญ่ (Colonoscopy) ทุก 5-10 ปี และตรวจอุจจาระ (Fecal immunochemical test, FIT) ทุกปี
",โรคหลอดเลือดสมอง เกิดจากสมองขาดเลือดไปเลี้ยง มีสาเหตุได้จากทั้งหลอดเลือดสมองตีบหรืออุดตัน (ischemic stroke) และ หลอดเลือดสมองแตก (hemorrhagic stroke) ทำให้เกิดอาการแขนขาอ่อนแรง หรือรุนแรงจนเสียชีวิตได้
2,BR002,brain,brain,,Alzheimer,โรคสมองเสื่อมอัลไซเมอร์ (Alzheimer's disease)​,3,2,6,1,2,6,12,13,หลงลืมบ่อย วอกแวก สมาธิสั้น ,,"Uridine monophosphate ร่วมกับวิตามินบีโอเมก้า 3 และวิตามิน D สารสกัดสมุนไพรอย่าง""พรมมิ"" และโสม","• ระมัดระวังการเกิดอุบัติเหตุหรือบาดเจ็บที่ศีรษะ
• ผู้สูงอายุ ควรส่งเสริมกิจกรรมการฝึกฝนสมอง เช่น อ่านหนังสือ คิดเลข หมากรุก พบปะพูดคุยกับผู้อื่น และเข้าสังคม ",• พบแพทย์เพื่อตรวจคัดกรองโรค โดยเฉพาะผู้หญิงเมื่ออายุ 40 ปีขึ้นไป เช่น mammogram หรือ breast MRI  ทุกปี,โรคสมองเสื่อมอัลไซเมอร์ เป็นโรคที่พบบ่อยที่สุดของกลุ่มอาการสมองเสื่อม เกิดจากการฝ่อตัวของสมอง และมีการสะสมของโปรตีนบางชนิดในสมอง ทำให้ความจำเสื่อมลง และมีกระบวนการคิดและการตัดสินใจผิดปกติจากเดิม
3,BR003,brain,brain,,Parkinson,โรคพาร์กินสัน (Parkinson's disease),2,2,4,1,2,4,8,,,,,,"• ตรวจเช็คร่างกาย โดยเฉพาะ ความดันโลหิต ระดับน้ำตาลในเลือด (FBS, HbA1c) ไขมันในเลือด (total cholesterol, LDL, HDL, triglycerides) และตรวจคลื่นไฟฟ้าหัวใจ (EKG) เนื่องจากเป็นปัจจัยสำคัญในการเกิดโรค",
4,BR004,brain,brain,,Migraine,โรคไมเกรน (migraine),2,2,4,1,2,4,8,,,,,,"• ตรวจเช็คร่างกาย โดยเฉพาะ ความดันโลหิต ระดับน้ำตาลในเลือด (FBS, HbA1c) ไขมันในเลือด (total cholesterol, LDL, HDL, triglycerides) 
• การตรวจคลื่นไฟฟ้าหัวใจ (EKG) และ การตรวจสมรรถภาพหัวใจ (Exercise stress test, EST) จะช่วยประเมินการทำงานของหัวใจเบื้องต้นได้",
5,BR005,brain,brain,,Depression,ภาวะซึมเศร้า (depression),2,3,6,1,2,6,12,12,เครียดบ่อย,,"-วิตามิน B complex ปริมาณสูง วิตามิน D
-Probiotics ที่เป็นชนิด gut-brain axis เช่น L.helveticus หรือ B.longum","• นอนหลับพักผ่อนให้เพียงพอ โดยแนะนำการนอนวันละ 7-9 ชั่วโมง ในผู้ใหญ่ อายุ > 18 ปี
• การทำสมาธิ (Mindfulness) เพื่อผ่อนคลายจิตใจ ","• พบแพทย์เพื่อตรวจคัดกรองโรค เช่น เอกซเรย์คอมพิวเตอร์แบบใช้ปริมาณรังสีต่ำ  (low-dose computed tomography, LDCT) โดยเฉพาะผู้ที่อายุ 50 ปี และมีประวัติสูบบุหรี่หนัก พิจารณาตรวจทุกปี",ภาวะซึมเศร้า พบได้ทุกช่วงวัย ส่วนใหญ่เป็นการตอบสนองทางอารมณ์ที่พบได้เป็นปกติต่อเหตุการณ์ร้ายแรง เช่นความสูญเสียต่างๆ แต่ผู้ที่มีภาวะซึมเศร้าที่รุนแรงหรือเป็นโรคซึมเศร้า ส่วนหนึ่งเกิดจากความผิดปกติของระบบสารสื่อประสาทในสมอง หรือความผิดปกติของฮอร์โมน
1,CS001,cancer,chest_abdo,,CA_colorectal,มะเร็งลำไส้ (colorectal cancer),3,3,9,1,2,9,18,1,กินปิ้งย่างบ่อย,,Probiotic คู่กับใยอาหาร เช่น PHGG ช่วยส่งเสริมสุขภาพลำไส้ ,"• หลีกเลี่ยงอาหารไขมันสูง อาหารปิ้งย่างหรือผ่านกรรมวิธีปรุงแต่ง เช่น ไส้กรอก เบคอน 
• เนื้อสัตว์แดง แนะนำไม่เกิน 500 g/สัปดาห์ (สเต๊ก 1 ชิ้น ประมาณ 200-300 g) และเลือกเนื้อขาวเป็นหลัก เช่น เนื้อปลา ไก่
","• ตรวจเช็คร่างกาย โดยเฉพาะ ระดับน้ำตาล (FBS) และ Hemoglobin A1c (HbA1c)ในเลือด
• ค่า FBS 100-125 mg/dl จะเรียกว่า ภาวะก่อนเบาหวาน (Prediabetes) ซึ่งจะเสี่ยงสูงต่อการเป็นเบาหวานในอนาคต",มะเร็งลำไส้ใหญ่และทวารหนัก เป็นมะเร็งพบบ่อยเป็นอันดับที่ 3 ของคนไทย อาการมีได้ตั้งแต่การขับถ่ายผิดปกติ ถ่ายอุจจาระเป็นมูกเลือด หรือเป็นเลือดแดงสด จนถึง ซีด เบื่ออาหารและน้ำหนักลดโดยไม่ทราบสาเหตุ
2,CS002,cancer,chest_abdo,,CA_lung,มะเร็งปอด (lung cancer),3,3,9,1,2,9,18,5,ไอบ่อย,,NAC  หรือ EGCG+ Quercitin,"• งดสูบบุหรี่ และหลีกเลี่ยงควันบุหรี่มือสอง
• หลีกเลี่ยงการสัมผัสสารพิษและมลภาวะในสิ่งแวดล้อม", • วัดความดันโลหิตสม่ำเสมอที่บ้าน (home blood pressure monitoring) ถ้าผิดปกติควรตรวจเช็คร่างกายเพิ่ม โดยความดันที่สูงกว่า 140/90 mmHg จะวินิจฉัย หรือเสี่ยงสูงที่จะเป็นโรคความดันโลหิตสูง,มะเร็งปอด เป็นโรคมะเร็งที่พบบ่อย โดยพบเป็นอันดับ 2 ในเพศชาย และพบบ่อยเป็นอันดับ 4 ในเพศหญิง สาเหตุหลักคือการสูบบุหรี่ โดยผู้สูบบุหรี่จะมีความเสี่ยงที่จะเป็นมะเร็งปอดสูงขึ้น 10-30 เท่า
3,CS003,cancer,urogenital,,CA_breast,มะเร็งเต้านม (breast cancer),3,3,9,1,2,9,18,2,คลำเต้านมด้วยตนเอง,,สาร Indole-3-Carbinol หรือ I3C ,"• สังเกตความผิดปกติ และคลำเต้านมด้วยตนเองเป็นประจำ
• ควบคุมน้ำหนัก ให้มีค่า BMI อยู่ระหว่าง 18.5 – 22.9","• ตรวจเช็คร่างกาย โดยเฉพาะ การทำงานของไต (BUN, Cr) และตรวจ urine test ดูโปรตีน (albumin) ในปัสสาวะ",มะเร็งเต้านม อาการที่พบบ่อยที่สุดคือคลำได้ก้อนที่เต้านม อาจพบความผิดปกติของหัวนม เช่น หัวนมบุ๋ม หรือมีเลือดออก และอาจพบต่อมน้ำเหลืองใต้รักแร้โตจากการแพร่กระจาย
4,CS004,cancer,urogenital,F,CA_prostrate,มะเร็งต่อมลูกหมาก (prostate cancer),3,3,9,1,2,9,18,15,,,สารสกัดปาล์มใบเลื่อย (Saw Palmetto) ร่วมกับ Zinc จ,• เลือกรับประทานอาหารที่มีประโยชน์ เน้นผัก ผลไม้ อาหารที่มีกากใยมาก หลีกเลี่ยงอาหารที่ผ่านกรรมวิธีปรุงแต่ง (เช่น ไส้กรอก เบคอน),"• ตรวจเช็คร่างกาย โดยเฉพาะ ระดับไขมันในเลือด (total cholesterol, LDL, HDL, triglycerides) 
",มะเร็งต่อมลูกหมากเป็นมะเร็งที่เติบโตช้า จึงมักจะไม่มีอาการในระยะเริ่มแรก ส่วนใหญ่อาการที่เกิดขึ้นจะคล้ายกับอาการของต่อมลูกหมากโตธรรมดา จึงอาจละเลยและมักจะตรวจพบเมื่อเป็นมากหรือมะเร็งมีการลุกลามแล้ว
5,CS005,cancer,chest_abdo,,CA_pancreas,มะเร็งตับอ่อน (pancreatic cancer),3,3,9,1,2,9,18,16,,,"อาหารเสริมพวกซัลโฟราเฟนที่อยุ่ในสารสกัดบลอคโครี่จะขับให้สารพิษออกจากปัสสาวะ Arabimoxylanหรือ Beta 1,6 Glucan ",• งดสูบบุหรี่ การสูบบุหรี่เพิ่มความเสี่ยงมะเร็งตับอ่อนถึง 2 เท่า,ตรวจเช็คร่างกาย โดยเฉพาะ คลื่นไฟฟ้าหัวใจ (EKG),มะเร็งตับอ่อน พบได้ไม่บ่อยนัก อาการเริ่มแรกมักไม่จำเพาะเจาะจง อาจมีเพียงอาการปวดท้องหรือไม่มีอาการเลย มักมาพบแพทย์เมื่อก้อนมีขนาดใหญ่หรือมีการลุกลาม ทำให้มีอัตราเสียชีวิตสูง
